max_depth,train_r2,validation_r2,r2_gap,train_rmse,validation_rmse,train_mae,validation_mae,behavior
2,0.003970017035208495,-0.003916537935765518,0.007886554970974013,601.1117640969144,732.1576885984456,257.5074698713866,287.41760575830443,Underfitting
4,0.06919204515418187,-0.04453404833542596,0.11372609348960783,581.09757698343,746.8220355194654,253.15235514826006,292.3115227036757,Underfitting
6,0.4622370947870539,-0.9083427297628925,1.3705798245499463,441.6868221400143,1009.4481360324954,233.65019651851384,302.9805716718341,Underfitting
8,0.5644405274972726,-0.9206099943798396,1.4850505218771122,397.50514394238996,1012.6874206891977,216.33309643891005,304.97607479103607,Underfitting
12,0.741645107959128,-1.0135077757522577,1.7551528837113857,306.1451376893647,1036.889504759895,171.87465435273288,321.7940989348902,Overfitting
16,0.8660103011547274,-1.0576067312247184,1.923617032379446,220.4726524224871,1048.182752082067,105.81777612451314,332.0954479075366,Overfitting
Unlimited,1.0,-1.0537730685958464,2.0537730685958464,0.0,1047.2058276639439,0.0,357.3516982,Overfitting
