Rank,Model,Source,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Overall Score
1,Logistic Regression,day20_metrics_comparison.csv,0.92,0.7083333333333334,0.34,0.4594594594594595,0.8967333333333333,0.6649052252252252
2,Gradient Boosting,day20_metrics_comparison.csv,0.918,0.7368421052631579,0.28,0.4057971014492754,0.882811111111111,0.6446900635647088
3,XGBoost,day19_model_results.csv,0.872,0.4135802469135802,0.67,0.5114503816793893,,0.6167576571482424
4,Random Forest,day18_model_results.csv,0.843,0.3609756097560975,0.74,0.4852459016393443,,0.6073053778488604
5,Decision Tree,day18_model_results.csv,0.91,0.6,0.3,0.4,,0.5525
